noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
candy,girl,bled,MID,physical,The girl began to,The candy began to,The girl bled and began to,The candy fell and began to,The candy bled and began to,0,VERB
bomb,collector,answered,HIGH,psychological,The collector started to,The bomb started to,The collector answered and started to,The bomb fell and started to,The bomb answered and started to,1,VERB
glove,mediator,prayed,HIGH,psychological,The mediator started to,The glove started to,The mediator prayed and started to,The glove fell and started to,The glove prayed and started to,1,VERB
van,inspector,danced,HIGH-MID,physical,The inspector started to,The van started to,The inspector danced and started to,The van fell and started to,The van danced and started to,1,VERB
door,man,exclaimed,HIGH,psychological,The man became very,The door became very,The man exclaimed and became very,The door fell and became very,The door exclaimed and became very,3,ADJ
lantern,producer,consented,HIGH-MID,psychological,The producer was very,The lantern was very,The producer consented and was very,The lantern fell and was very,The lantern consented and was very,2,ADJ
universe,journalist,consented,HIGH-MID,psychological,The journalist became very,The universe became very,The journalist consented and became very,The universe fell and became very,The universe consented and became very,3,ADJ
sculpture,physician,crawled,HIGH-MID,physical,The physician became very,The sculpture became very,The physician crawled and became very,The sculpture fell and became very,The sculpture crawled and became very,3,ADJ
ribbon,husband,commented,HIGH-MID,psychological,The husband was very,The ribbon was very,The husband commented and was very,The ribbon fell and was very,The ribbon commented and was very,2,ADJ
stick,photographer,smiled,HIGH,physical,The photographer became very,The stick became very,The photographer smiled and became very,The stick fell and became very,The stick smiled and became very,3,ADJ
knife,dean,glared,HIGH,physical,The dean started to,The knife started to,The dean glared and started to,The knife fell and started to,The knife glared and started to,1,VERB
boat,comedian,chuckled,HIGH,physical,The comedian became very,The boat became very,The comedian chuckled and became very,The boat fell and became very,The boat chuckled and became very,3,ADJ
bagpipe,producer,trained,HIGH-MID,psychological,The producer began to,The bagpipe began to,The producer trained and began to,The bagpipe fell and began to,The bagpipe trained and began to,0,VERB
pistol,coach,applauded,HIGH-MID,psychological,The coach began to,The pistol began to,The coach applauded and began to,The pistol fell and began to,The pistol applauded and began to,0,VERB
pillow,nephew,drank,HIGH,physical,The nephew was very,The pillow was very,The nephew drank and was very,The pillow fell and was very,The pillow drank and was very,2,ADJ
zipper,child,stole,HIGH-MID,psychological,The child started to,The zipper started to,The child stole and started to,The zipper fell and started to,The zipper stole and started to,1,VERB
cart,chef,fainted,HIGH,physical,The chef began to,The cart began to,The chef fainted and began to,The cart fell and began to,The cart fainted and began to,0,VERB
pie,manager,struggled,HIGH-MID,psychological,The manager started to,The pie started to,The manager struggled and started to,The pie fell and started to,The pie struggled and started to,1,VERB
mallet,girl,shouted,HIGH,physical,The girl became very,The mallet became very,The girl shouted and became very,The mallet fell and became very,The mallet shouted and became very,3,ADJ
tape,father,argued,HIGH-MID,psychological,The father began to,The tape began to,The father argued and began to,The tape fell and began to,The tape argued and began to,0,VERB
sandal,mathematician,pounced,HIGH-MID,physical,The mathematician became very,The sandal became very,The mathematician pounced and became very,The sandal fell and became very,The sandal pounced and became very,3,ADJ
violin,producer,invested,MID,psychological,The producer became very,The violin became very,The producer invested and became very,The violin fell and became very,The violin invested and became very,3,ADJ
book,trainer,preached,HIGH,psychological,The trainer started to,The book started to,The trainer preached and started to,The book fell and started to,The book preached and started to,1,VERB
blossom,nurse,omitted,HIGH,physical,The nurse began to,The blossom began to,The nurse omitted and began to,The blossom fell and began to,The blossom omitted and began to,0,VERB
shawl,student,chuckled,HIGH,physical,The student became very,The shawl became very,The student chuckled and became very,The shawl fell and became very,The shawl chuckled and became very,3,ADJ
photograph,designer,snored,HIGH,physical,The designer began to,The photograph began to,The designer snored and began to,The photograph fell and began to,The photograph snored and began to,0,VERB
shirt,writer,yelled,HIGH,physical,The writer started to,The shirt started to,The writer yelled and started to,The shirt fell and started to,The shirt yelled and started to,1,VERB
glove,person,cursed,HIGH,psychological,The person began to,The glove began to,The person cursed and began to,The glove fell and began to,The glove cursed and began to,0,VERB
hairpin,journalist,remembered,HIGH,psychological,The journalist was very,The hairpin was very,The journalist remembered and was very,The hairpin fell and was very,The hairpin remembered and was very,2,ADJ
clarinet,fisher,visited,HIGH,psychological,The fisher became very,The clarinet became very,The fisher visited and became very,The clarinet fell and became very,The clarinet visited and became very,3,ADJ
block,dean,shouted,HIGH,physical,The dean became very,The block became very,The dean shouted and became very,The block fell and became very,The block shouted and became very,3,ADJ
lantern,vice president,showered,HIGH-MID,physical,The vice president was very,The lantern was very,The vice president showered and was very,The lantern fell and was very,The lantern showered and was very,2,ADJ
block,designer,evacuated,HIGH-MID,psychological,The designer started to,The block started to,The designer evacuated and started to,The block fell and started to,The block evacuated and started to,1,VERB
plane,grandson,jumped,HIGH-MID,physical,The grandson began to,The plane began to,The grandson jumped and began to,The plane fell and began to,The plane jumped and began to,0,VERB
rope,journalist,whistled,HIGH-MID,physical,The journalist became very,The rope became very,The journalist whistled and became very,The rope fell and became very,The rope whistled and became very,3,ADJ
thread,secretary of state,grumbled,HIGH,physical,The secretary of state began to,The thread began to,The secretary of state grumbled and began to,The thread fell and began to,The thread grumbled and began to,0,VERB
wagon,coach,conceded,HIGH-MID,psychological,The coach began to,The wagon began to,The coach conceded and began to,The wagon fell and began to,The wagon conceded and began to,0,VERB
seed,inspector,flinched,HIGH,physical,The inspector began to,The seed began to,The inspector flinched and began to,The seed fell and began to,The seed flinched and began to,0,VERB
stone,secretary,shrieked,HIGH-MID,physical,The secretary became very,The stone became very,The secretary shrieked and became very,The stone fell and became very,The stone shrieked and became very,3,ADJ
lamp,mediator,cursed,HIGH,psychological,The mediator became very,The lamp became very,The mediator cursed and became very,The lamp fell and became very,The lamp cursed and became very,3,ADJ
purse,scout,trained,HIGH-MID,psychological,The scout became very,The purse became very,The scout trained and became very,The purse fell and became very,The purse trained and became very,3,ADJ
chair,translator,grieved,HIGH,psychological,The translator was very,The chair was very,The translator grieved and was very,The chair fell and was very,The chair grieved and was very,2,ADJ
bench,attorney,learnt,HIGH,psychological,The attorney became very,The bench became very,The attorney learnt and became very,The bench fell and became very,The bench learnt and became very,3,ADJ
pendulum,legislators,retired,HIGH,psychological,The legislators began to,The pendulum began to,The legislators retired and began to,The pendulum fell and began to,The pendulum retired and began to,0,VERB
satchel,manager,hurried,HIGH,psychological,The manager started to,The satchel started to,The manager hurried and started to,The satchel fell and started to,The satchel hurried and started to,1,VERB
cake,clerk,nodded,HIGH,physical,The clerk began to,The cake began to,The clerk nodded and began to,The cake fell and began to,The cake nodded and began to,0,VERB
mallet,chief of staff,voted,MID,psychological,The chief of staff started to,The mallet started to,The chief of staff voted and started to,The mallet fell and started to,The mallet voted and started to,1,VERB
pillow,translator,swam,MID,physical,The translator started to,The pillow started to,The translator swam and started to,The pillow fell and started to,The pillow swam and started to,1,VERB
table,owner,suspected,HIGH,psychological,The owner was very,The table was very,The owner suspected and was very,The table fell and was very,The table suspected and was very,2,ADJ
pistol,priest,waited,HIGH,psychological,The priest began to,The pistol began to,The priest waited and began to,The pistol fell and began to,The pistol waited and began to,0,VERB
watch,editor,worried,HIGH-MID,psychological,The editor was very,The watch was very,The editor worried and was very,The watch fell and was very,The watch worried and was very,2,ADJ
balloon,hunter,conceded,HIGH-MID,psychological,The hunter was very,The balloon was very,The hunter conceded and was very,The balloon fell and was very,The balloon conceded and was very,2,ADJ
amplifier,barber,staggered,HIGH-MID,physical,The barber was very,The amplifier was very,The barber staggered and was very,The amplifier fell and was very,The amplifier staggered and was very,2,ADJ
amplifier,associate,knew,HIGH,psychological,The associate began to,The amplifier began to,The associate knew and began to,The amplifier fell and began to,The amplifier knew and began to,0,VERB
cake,wife,shrieked,HIGH-MID,physical,The wife started to,The cake started to,The wife shrieked and started to,The cake fell and started to,The cake shrieked and started to,1,VERB
