noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
rifle,boy,walked,HIGH,physical,The boy began to,The rifle began to,"After it walked, the boy began to","After it fell, the rifle began to","After it walked, the rifle began to",0,VERB
shoe,person,cheated,HIGH,psychological,The person began to,The shoe began to,"After it cheated, the person began to","After it fell, the shoe began to","After it cheated, the shoe began to",0,VERB
flute,child,chanted,HIGH,psychological,The child was very,The flute was very,"After it chanted, the child was very","After it fell, the flute was very","After it chanted, the flute was very",2,ADJ
submarine,person,yelled,HIGH,physical,The person became very,The submarine became very,"After it yelled, the person became very","After it fell, the submarine became very","After it yelled, the submarine became very",3,ADJ
sculpture,man,replied,HIGH,psychological,The man was very,The sculpture was very,"After it replied, the man was very","After it fell, the sculpture was very","After it replied, the sculpture was very",2,ADJ
shoe,boy,answered,HIGH,psychological,The boy started to,The shoe started to,"After it answered, the boy started to","After it fell, the shoe started to","After it answered, the shoe started to",1,VERB
tray,child,starved,HIGH,physical,The child started to,The tray started to,"After it starved, the child started to","After it fell, the tray started to","After it starved, the tray started to",1,VERB
mattress,boy,chose,HIGH,psychological,The boy began to,The mattress began to,"After it chose, the boy began to","After it fell, the mattress began to","After it chose, the mattress began to",0,VERB
canoe,girl,leaned,HIGH,physical,The girl started to,The canoe started to,"After it leaned, the girl started to","After it fell, the canoe started to","After it leaned, the canoe started to",1,VERB
record,girl,spit,HIGH,physical,The girl became very,The record became very,"After it spit, the girl became very","After it fell, the record became very","After it spit, the record became very",3,ADJ
prune,boy,panted,HIGH,physical,The boy was very,The prune was very,"After it panted, the boy was very","After it fell, the prune was very","After it panted, the prune was very",2,ADJ
microscope,boy,emigrated,HIGH,psychological,The boy was very,The microscope was very,"After it emigrated, the boy was very","After it fell, the microscope was very","After it emigrated, the microscope was very",2,ADJ
knife,child,trotted,HIGH-MID,physical,The child was very,The knife was very,"After it trotted, the child was very","After it fell, the knife was very","After it trotted, the knife was very",2,ADJ
stage,woman,mumbled,HIGH,physical,The woman started to,The stage started to,"After it mumbled, the woman started to","After it fell, the stage started to","After it mumbled, the stage started to",1,VERB
scroll,person,fled,HIGH-MID,physical,The person started to,The scroll started to,"After it fled, the person started to","After it fell, the scroll started to","After it fled, the scroll started to",1,VERB
gown,boy,emigrated,HIGH,psychological,The boy began to,The gown began to,"After it emigrated, the boy began to","After it fell, the gown began to","After it emigrated, the gown began to",0,VERB
bread,woman,swallowed,HIGH,physical,The woman began to,The bread began to,"After it swallowed, the woman began to","After it fell, the bread began to","After it swallowed, the bread began to",0,VERB
quilt,boy,ducked,HIGH,physical,The boy started to,The quilt started to,"After it ducked, the boy started to","After it fell, the quilt started to","After it ducked, the quilt started to",1,VERB
wig,child,murmured,HIGH,physical,The child was very,The wig was very,"After it murmured, the child was very","After it fell, the wig was very","After it murmured, the wig was very",2,ADJ
dictionary,woman,cheated,HIGH,psychological,The woman was very,The dictionary was very,"After it cheated, the woman was very","After it fell, the dictionary was very","After it cheated, the dictionary was very",2,ADJ
satchel,boy,invested,MID,psychological,The boy became very,The satchel became very,"After it invested, the boy became very","After it fell, the satchel became very","After it invested, the satchel became very",3,ADJ
statue,man,sniffed,HIGH,physical,The man started to,The statue started to,"After it sniffed, the man started to","After it fell, the statue started to","After it sniffed, the statue started to",1,VERB
pie,boy,hastened,HIGH-MID,psychological,The boy became very,The pie became very,"After it hastened, the boy became very","After it fell, the pie became very","After it hastened, the pie became very",3,ADJ
suit,man,growled,HIGH,physical,The man was very,The suit was very,"After it growled, the man was very","After it fell, the suit was very","After it growled, the suit was very",2,ADJ
whistle,man,argued,HIGH-MID,psychological,The man started to,The whistle started to,"After it argued, the man started to","After it fell, the whistle started to","After it argued, the whistle started to",1,VERB
clarinet,woman,answered,HIGH,psychological,The woman became very,The clarinet became very,"After it answered, the woman became very","After it fell, the clarinet became very","After it answered, the clarinet became very",3,ADJ
pool,boy,guessed,HIGH,psychological,The boy became very,The pool became very,"After it guessed, the boy became very","After it fell, the pool became very","After it guessed, the pool became very",3,ADJ
umbrella,girl,giggled,HIGH,physical,The girl became very,The umbrella became very,"After it giggled, the girl became very","After it fell, the umbrella became very","After it giggled, the umbrella became very",3,ADJ
propeller,boy,shouted,HIGH,physical,The boy became very,The propeller became very,"After it shouted, the boy became very","After it fell, the propeller became very","After it shouted, the propeller became very",3,ADJ
figure,man,giggled,HIGH,physical,The man began to,The figure began to,"After it giggled, the man began to","After it fell, the figure began to","After it giggled, the figure began to",0,VERB
television,boy,grimaced,HIGH,physical,The boy was very,The television was very,"After it grimaced, the boy was very","After it fell, the television was very","After it grimaced, the television was very",2,ADJ
mattress,woman,searched,HIGH-MID,psychological,The woman began to,The mattress began to,"After it searched, the woman began to","After it fell, the mattress began to","After it searched, the mattress began to",0,VERB
table,boy,read,HIGH,psychological,The boy became very,The table became very,"After it read, the boy became very","After it fell, the table became very","After it read, the table became very",3,ADJ
flask,boy,shrugged,HIGH,physical,The boy became very,The flask became very,"After it shrugged, the boy became very","After it fell, the flask became very","After it shrugged, the flask became very",3,ADJ
pendulum,child,limped,HIGH-MID,physical,The child began to,The pendulum began to,"After it limped, the child began to","After it fell, the pendulum began to","After it limped, the pendulum began to",0,VERB
mine,person,gestured,HIGH,physical,The person was very,The mine was very,"After it gestured, the person was very","After it fell, the mine was very","After it gestured, the mine was very",2,ADJ
electron,woman,enquired,HIGH,psychological,The woman began to,The electron began to,"After it enquired, the woman began to","After it fell, the electron began to","After it enquired, the electron began to",0,VERB
accordion,girl,hesitated,HIGH,psychological,The girl became very,The accordion became very,"After it hesitated, the girl became very","After it fell, the accordion became very","After it hesitated, the accordion became very",3,ADJ
flower,woman,grimaced,HIGH,physical,The woman started to,The flower started to,"After it grimaced, the woman started to","After it fell, the flower started to","After it grimaced, the flower started to",1,VERB
